kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
gaussian.1.sm_30.ptx 97 : 12 60 0 0 0 0 0 0 0 
gaussian.1.sm_30.ptx 98 : 12 60 0 0 0 0 0 0 0 
gaussian.1.sm_30.ptx 99 : 12 60 0 0 0 0 0 0 0 
gaussian.1.sm_30.ptx 100 : 12 120 0 0 0 0 0 0 0 
gaussian.1.sm_30.ptx 101 : 12 108 0 0 0 0 0 0 0 
gaussian.1.sm_30.ptx 102 : 12 72 0 0 0 0 0 0 0 
gaussian.1.sm_30.ptx 103 : 12 0 0 0 0 0 0 0 0 
gaussian.1.sm_30.ptx 105 : 12 72 0 0 0 0 0 0 0 
gaussian.1.sm_30.ptx 106 : 12 108 0 0 0 0 0 0 0 
gaussian.1.sm_30.ptx 119 : 12 108 0 0 0 0 0 0 0 
